CarParkRef,CarParkName,URL,MinimumCost,Note,Easting,Northing
929828,Wilkinson Street Park and Ride,http://www.nottinghamcity.gov.uk/sitemap/transport_and_streets/cdtp_public_transport/cdt_park_and_ride.htm,0,,455367,341976
929702,Kingston's Christmas Park & Ride ,http://www.kingston.gov.uk/transport_and_streets/parking/parkandride.htm,0,The 2006/ 7 service will start again in November,517572,162723
929751,Sniperley Park and Ride,http://www.durhamparkandride.com/sitefiles/pages/welcome.html,0,"Open 7.00am to 7.00pm, Monday to Saturday",426316,543731
929752,Belmont Park and Ride,http://www.durhamparkandride.com/sitefiles/pages/welcome.html,0,"Open 7.00am to 7.00pm, Monday to Saturday",431191,544542
929753,Howlands Park and Ride,http://www.durhamparkandride.com/sitefiles/pages/welcome.html,0,"Open 7.00am to 7.00pm, Monday to Saturday",427139,540713
929791,Callerton Parkway Metro station Park and Ride,http://www.newcastle.gov.uk/parking.nsf/a/parkride,,,419078,570439
929792,Kingston Park Metro Station Park and Ride,http://www.newcastle.gov.uk/parking.nsf/a/parkride,,,421512,568991
929793,Regent Centre Metro Station Park and Ride,http://www.newcastle.gov.uk/parking.nsf/a/parkride,,,424305,568609
929794,New Bridge Street Car Park (Warner Bros.),http://www.newcastle.gov.uk/parking.nsf/a/parkride,,,425449,564685
929678,Broadbottom Park and Ride,http://www.gmpte.com/parkandride,0,,399172,393815
929679,Brooklands Park and Ride,http://www.gmpte.com/parkandride,0,,378443,391183
929680,Cheadle Hulme Park and Ride,http://www.gmpte.com/parkandride,0,,387662,386640
929681,Davenport Park and Ride,http://www.gmpte.com/parkandride,0,,389680,388377
929682,Hazel Grove Park and Ride,http://www.gmpte.com/parkandride,0,,391933,386823
929683,Horwich Parkway Park and Ride,http://www.gmpte.com/parkandride,0,,364366,409203
929684,Ladywell Park and Ride,http://www.gmpte.com/parkandride,0,,378664,398370
929685,Lostock Park and Ride,http://www.gmpte.com/parkandride,0,,367402,408637
929686,Radcliffe Park and Ride,http://www.gmpte.com/parkandride,0,,378713,407430
929687,Romiley Park and Ride,http://www.gmpte.com/parkandride,0,,394223,390797
929898,Smithy Bridge Park and Ride,http://www.gmpte.com/parkandride,0,,392627,415209
929692,Westhoughton Park and Ride,http://www.gmpte.com/parkandride,0,,365439,406613
929688,Shaw and Crompton Park and Ride,http://www.gmpte.com/parkandride,0,,394196,409033
929719,The Esplanade Park and Ride,http://www.sefton.gov.uk/page&3348,100,1st April to 30th September (summer): 7.30am-6.30pm (Mon-Sat); 1st October to 31st March (winter): 7.30am-6.30pm (Mon-Sat) 9.00am - 6.30pm (Sun),332546,417083
929720,Fairways Park and Ride,http://www.sefton.gov.uk/page&3348,100,1st April to 30th September (summer): 10.00am-6.30pm (Sat) 9.00am-6.30pm (Sun); 1st October to 31st March (winter): 10.00am-6.30pm (Sat),334164,418761
929721,Ainsdale Station Park and Ride,http://www.sefton.gov.uk/page&3348,0,,331080,412204
929722,Aintree Station Park and Ride,http://www.sefton.gov.uk/page&3348,0,,336664,397857
929723,Birkdale Station Park and Ride,http://www.sefton.gov.uk/page&3348,0,,333028,415735
929724,Blundellsands and Crosby Station Park and Ride,http://www.sefton.gov.uk/page&3348,0,,331035,399495
929725,Formby Station Park and Ride,http://www.sefton.gov.uk/page&3348,0,,329185,406861
929726,Freshfield Station Park and Ride,http://www.sefton.gov.uk/page&3348,0,,329131,408361
929727,Maghull Station Park and Ride,http://www.sefton.gov.uk/page&3348,0,,338313,401506
929728,Seaforth and Litherland Station Park and Ride,http://www.sefton.gov.uk/page&3348,0,,333265,397109
929729,Walton-le-Dale Park and Ride,http://www.lancashire.gov.uk/environment/bus/park_and_ride/parkandride.asp,0,"Open from 07:30 to 19:00 Monday to Saturday. Also open on most Bank Holidays between 09:30 to 17:30 (Closed Christmas Day, Boxing Day and New Year's Day)",355372,428231
929730,Preston Portway Park and Ride,http://www.lancashire.gov.uk/environment/bus/park_and_ride/parkandride.asp,0,"Open from 07:30 to 19:00 Monday to Saturday. Also open on most Bank Holidays between 09:30 to 17:30 (Closed Christmas Day, Boxing Day and New Year's Day)",352653,429229
929787,Boughton Heath Park and Ride,http://www.chester.gov.uk/main.asp?page=183,0,The car park is open from 07:00 to 19:00 on Mondays to Saturdays; 09:30 to 18:00 on Sundays and Bank Holidays,343174,365861
929788,Sealand Road Park and Ride,http://www.chester.gov.uk/main.asp?page=183,0,The car park is open from 07:00 to 19:00 on Mondays to Saturdays; 09:30 to 18:00 on Sundays and Bank Holidays,337934,366876
929789,Upton - The Zoo Park and Ride,http://www.chester.gov.uk/main.asp?page=183,0,The car park is open from 07:00 to 19:00 on Mondays to Saturdays; 09:30 to 18:00 on Sundays and Bank Holidays,340705,370370
929790,Wrexham Road Park and Ride,http://www.chester.gov.uk/main.asp?page=183,0,The car park is open from 07:00 to 19:00 on Mondays to Saturdays; 09:30 to 18:00 on Sundays and Bank Holidays,339155,363038
