"Exchange Point ID","National Express ID","Name","Long Name","Easting","Northing","Date of Issue","Issue Version","CoachClusterCode","Group ID"
"NX000198","65036","Branksome","Branksome - Poole Rd Coach Stop",405593,91964,"25/05/2010","386","900065036","G248"
"NX000202","42045","Braunton","Braunton (Devon) - George Hotel Coach Stop",248834,136467,"25/05/2010","386","900042045",
"NX000203","41366","Brean Sands","Brean Sands - Pontins Coach Stop",329627,155070,"25/05/2010","386","900041366",
"NX000209","67949","Bridge of Orchy","Bridge of Orchy - Hotel Coach Stop",229741,739611,"25/05/2010","386","900067949","G251"
"NX000210","14425","Bridgend","Bridgend-Sarn Coach Stop",290969,182640,"25/05/2010","386","900014425","G252"
"NX000211","42755","Bridgwater","Bridgwater Coach Stn",330174,137309,"25/05/2010","386","900042755","G253"
"NX000212","75022","Bridlington","Bridlington Bus Stn",518530,466850,"25/05/2010","386","900075022","G143"
"NX000213","45055","Bridport","Bridport - Coach Park West Street",346247,92940,"25/05/2010","386","900045055",
"NX000214","73131","Brierfield","Brierfield: Town Hall Bus Stop",384616,436155,"25/05/2010","386","900073131","G254"
"NX000215","22012","Brighouse","Brighouse Bus Stn",414514,422921,"25/05/2010","386","900022012","G256"
"NX000216","59076","BRIGHTON","Brighton - Pool Valley Coach Stn",531267,103899,"25/05/2010","386","900059076","G49"
"NX000217","59029","Brighton","Brighton - Preston Circus Coach Stop",531076,105456,"25/05/2010","386","900059029",
"NX000219","59008","Brighton","Brighton - Withdean Pk Carden Ave Coach Stop",530089,107963,"25/05/2010","386","900059008",
"NX000221","41065","BRISTOL","Bristol - Marlborough Street Bus Stn",358920,173520,"25/05/2010","386","900041065","G50"
"NX000222","41185","Bristol","Bristol Airport Coach Stop",350640,165534,"25/05/2010","386","900041185",
"NX000226","44185","Brixham","Brixham - Bank Lane Coach Stop",292372,56050,"25/05/2010","386","900044185",
"NX000227","39014","Brixworth","Brixworth - Northampton Road Coach Stop",474808,270638,"25/05/2010","386","900039014",
"NX000229","93057","Broadford (Highland)","Broadford - Post Office Coach Stop",163944,823736,"25/05/2010","386","900093057",
"NX000230","58347","Broadstairs","Broadstairs - High Street Coach Stop",639381,167886,"25/05/2010","386","900058347","G258"
"NX000233","65046","Brockenhurst","Brockenhurst - Lyndhurst Rd Coach Stop",430258,102603,"25/05/2010","386","900065046","G259"
"NX000234","78021","Bromborough","Bromborough Cross - Bus Shelter",335038,382103,"25/05/2010","386","900078021","G260"
"NX000240","15435","Brynmawr","Brynmawr Bus Stn",319135,211638,"25/05/2010","386","900015435",
"NX000244","42315","Bude","Bude - Strand Coach Stop",220863,106354,"25/05/2010","386","900042315",
"NX000248","86064","Bungay","Bungay - Earsham Street Coach Stop",633527,289854,"25/05/2010","386","900086064",
"NX000249","93117","Bunloyne","Bunloyne (Highland) - Junction Coach Stop",221083,810020,"25/05/2010","386","900093117",
"NX000252","41356","BURNHAM-ON-SEA","Burnham-on-Sea - Pier Street Coach Stop",330383,148800,"25/05/2010","386","900041356",
"NX000253","41345","Burnham-on-Sea","Burnham-on-Sea - Holiday Village Coach Stop",330500,148360,"25/05/2010","386","900041345",
"NX000254","73141","Burnley","Burnley Bus Station",384276,432472,"25/05/2010","386","900073141","G51"
"NX000255","43236","Burraton","Burraton (Cornwall) - Coach Stop",241689,59407,"25/05/2010","386","900043236",
"NX000257","32023","Burton-upon-Trent","Burton-upon-Trent - High Street Coach Stop",425075,322899,"25/05/2010","386","900032023","G52"
"NX000258","53654","Bury St Edmunds","Bury St Edmunds - Bus Stn",585175,264313,"25/05/2010","386","900053654","G262"
"NX000259","21351","Bury","Bury Interchange Bus Stn",380369,410562,"25/05/2010","386","900021351",
"NX000260","26024","Buxton","Buxton - Market Place Coach Stop",405828,373270,"25/05/2010","386","900026024","G264"
"NX000261","69152","Byrness","Byrness (Northumberland) Coach Stop",376422,602834,"25/05/2010","386","900069152",
"NX000263","11571","Caernarfon","Caernarfon - Penllyn Bus Stn",248029,362757,"25/05/2010","386","900011571",
"NX000264","12793","Caersws","Caersws Corner - Rail Crossing Coach Stop",303612,291385,"25/05/2010","386","900012793","G265"
"NX000267","67088","Cairndow","Cairndow (Argyll & Bute) - Coach Stop",218426,711324,"25/05/2010","386","900067088",
"NX000270","61206","Reading - Calcot","Reading - Calcot M4 junct 12 Coach Stop",465358,171847,"25/05/2010","386","900061206","G26"
"NX000275","43055","Camborne","Camborne Bus Stn",164826,40026,"25/05/2010","386","900043055","G266"
"NX000276","52074","CAMBRIDGE","Cambridge - City Centre Coach Stops",545612,258254,"25/05/2010","386","900052074",
"NX000278","67747","Campbeltown","Campbeltown Bus Terminal",171999,620592,"25/05/2010","386","900067747",
"NX000279","66218","Camptown","Camptown (Scottish Borders) - Coach Stop",367957,613392,"25/05/2010","386","900066218",
"NX000282","58056","Canterbury","Canterbury Bus Stn",615027,157540,"25/05/2010","386","900058056","G5"
"NX000283","12104","Capel Bangor","Capel Bangor (Ceredigion) - Coach Stop",265192,280349,"25/05/2010","386","900012104",
"NX000284","53216","Capel St Mary","Capel St Mary (Suffolk) Coach Stop",610123,238393,"25/05/2010","386","900053216",
"NX000285","69124","Capheaton","Capheaton (Northumberland) - Road End Coach Stop",403521,581752,"25/05/2010","386","900069124",
"NX000286","43075","Carbis Bay","Carbis Bay - Longstone Cross Coach Stop",153038,38210,"25/05/2010","386","900043075","G269"
"NX000287","15035","CARDIFF","Cardiff Bus Stn",318125,175968,"25/05/2010","386","900015035","G54"
"NX000289","68051","Carlisle","Carlisle Bus Station",340296,555906,"25/05/2010","386","900068051","G55"
"NX000291","14035","Carmarthen","Carmarthen - Blue Street o/s Bus Station",241105,219931,"25/05/2010","386","900014035","G270"
"NX000292","72051","Carnforth","Carnforth - Lancaster Rd Coach Stop",349858,470436,"25/05/2010","386","900072051","G271"
"NX000296","66248","Carter Bar","Carter Bar - Summit Coach Stop",369773,606820,"25/05/2010","386","900066248",
"NX000300","67504","Castle Douglas","Castle Douglas - Carlingwark Street Coach Stop",276125,561817,"25/05/2010","386","900067504",
"NX000307","69142","Catcleugh","Catcleugh (Northumberland) - Coach Stop",374856,603337,"25/05/2010","386","900069142",
"NX000308","74012","Catterick","Catterick Coach Stop",424073,498032,"25/05/2010","386","900074012",
"NX000311","75122","Cayton Bay","Cayton Bay - Haven Holiday Park Coach Stop",506596,484227,"25/05/2010","386","900075122",
"NX000313","43586","Chacewater","Chacewater (Cornwall) - Coach Stop",175121,44436,"25/05/2010","386","900043586",
"NX000314","21461","Chadderton","Chadderton (Manchester) - Broadway Bus Stop",390363,405376,"25/05/2010","386","900021461",
"NX000317","31424","Chapel St Leonards","Chapel St Leonards - Bus Stn",556068,372266,"25/05/2010","386","900031424",
"NX000320","17023","Charlton Kings","Charlton Kings - Bradley Rd Coach Stop",396412,219910,"25/05/2010","386","900017023",
"NX000326","54014","Chelmsford","Chelmsford Bus Station",570455,207042,"25/05/2010","386","900054014","G56"
"NX000327","17043","Cheltenham Spa","Cheltenham Spa - Royal Well Bus Stn",394723,222352,"25/05/2010","386","900017043","G57"
"NX000328","15345","Chepstow","Chepstow Bus Stn",353193,193759,"25/05/2010","386","900015345","G263"
"NX000332","11081","CHESTER","Chester - City Centre Coach Stops",340916,366181,"25/05/2010","386","900011081","G58"
"NX000333","11082","Chester","Chester Zoo Bus Terminal",340701,370295,"25/05/2010","386","900011082",
"NX000334","70012","Chester-le-Street","Chester-le-Street - South Burns Coach Stop",427363,551637,"25/05/2010","386","900070012","G146"
"NX000335","28034","Chesterfield","Chesterfield Bus Stn",438206,370980,"25/05/2010","386","900028034","G59"
"NX000336","63456","Chichester","Chichester Bus Stn",485992,104316,"25/05/2010","386","900063456","G60"
"NX000338","46115","Chippenham","Chippenham - Bath Rd o/s Car Park Coach Stop",391901,173368,"25/05/2010","386","900046115","G147"
"NX000340","12031","Chirk","Chirk - Hand Hotel Coach Stop",329079,337712,"25/05/2010","386","900012031","G272"
"NX000343","65056","Christchurch","Christchurch Coach Stop",415470,93257,"25/05/2010","386","900065056","G274"
"NX000344","17353","Cirencester","Cirencester - London Rd Coach Stop",402805,202000,"25/05/2010","386","900017353",
"NX000347","67778","Clachan (N Kintyre)","Clachan (N Kintyre) - Village Coach Stop",176503,656095,"25/05/2010","386","900067778",
"NX000348","53764","Clacton-on-Sea","Clacton-on-Sea - Rail Stn Coach Stop",617608,215266,"25/05/2010","386","900053764","G275"
"NX000351","30424","Cleethorpes","Cleethorpes - High Street Coach Stop",530494,408913,"25/05/2010","386","900030424","G276"
"NX000353","41240","Clevedon","Clevedon - Kenn Rd Coach Stop",340874,171069,"25/05/2010","386","900041240",
"NX000356","58387","CLIFTONVILLE","Cliftonville (Kent) - Coach Stops",637274,170725,"25/05/2010","386","900058387","G149"
"NX000357","58397","Cliftonville","Cliftonville - Eastern Esplanade Coach Stop",636719,171240,"25/05/2010","386","900058397","G149"
"NX000365","93107","Cluanie","Cluanie Inn (Highland) - Coach Stop",207569,811768,"25/05/2010","386","900093107",
"NX000367","35334","COALVILLE","Coalville - Memorial Square Coach Stop",442288,314412,"25/05/2010","386","900035334",
"NX000370","68361","Cockermouth","Cockermouth - Monument Main Street Coach Stop",312017,530708,"25/05/2010","386","900068361",
"NX000371","53074","Colchester","Colchester Bus Stn",599954,225162,"25/05/2010","386","900053074","G7"
"NX000373","73151","Colne","Colne Bus Stn",389168,440049,"25/05/2010","386","900073151","G279"
"NX000375","11242","Colwyn Bay","Colwyn Bay Coach Stop",284780,379023,"25/05/2010","386","900011242","G280"
"NX000376","31289","Coningsby","Coningsby (Lincs) - War Memorial Coach Stop",522591,358303,"25/05/2010","386","900031289",
"NX000379","67957","Connel","Connel - By-pass at bridge Coach Stop",190874,734212,"25/05/2010","386","900067957","G320"
"NX000382","43020","Copperhouse","Copperhouse (Cornwall) - Coach Stop",156149,37699,"25/05/2010","386","900043020",
"NX000384","39334","Corby","Corby - Anne Street Coach Stop",488181,288445,"25/05/2010","386","900039334",
"NX000386","45317","Corfe","Corfe Castle - East Street Coach Stop",396159,81957,"25/05/2010","386","900045317",
"NX000388","67357","Corran","Corran (Highland) - Bus Stop on A82",202349,763401,"25/05/2010","386","900067357",
"NX000389","87085","Corsham","Corsham - Newlands Road Coach Stop",386340,170632,"25/05/2010","386","900087085",
"NX000390","64115","Cosham","Cosham - Health Centre Coach Stop",465615,105340,"25/05/2010","386","900064115","G282"
"NX000391","69162","Cottonshopeburn","Cottonshopeburn - nr Forest Drive Coach Stop",378022,601546,"25/05/2010","386","900069162",
"NX000392","57537","Coulsdon","Coulsdon - Brighton Rd Coach Stop",529825,159070,"25/05/2010","386","900057537","G321"
"NX000393","34013","Coventry","Coventry - Pool Meadow Bus Stn",433630,279250,"25/05/2010","386","900034013","G61"
"NX000394","64026","Cowplain","Cowplain (Havant) - London Rd Coach Stop",469137,110990,"25/05/2010","386","900064026",
"NX000395","63066","Crawley","Crawley Bus Stn",527000,136413,"25/05/2010","386","900063066","G284"
"NX000397","67268","Creetown","Creetown (Dumfries & Galloway) - Coach Stop",247537,558809,"25/05/2010","386","900067268",
"NX000398","20591","Crewe","Crewe Bus Stn",370426,355738,"25/05/2010","386","900020591","G62"
"NX000399","67967","Crianlarich","Crianlarich Coach Stops",238595,725309,"25/05/2010","386","900067967","G285"
"NX000400","12651","Criccieth","Criccieth - Lay-by Coach Stop",250009,338147,"25/05/2010","386","900012651","G286"
"NX000403","37324","Cromer","Cromer Bus Stn",621719,342212,"25/05/2010","386","900037324","G287"
"NX000404","14045","Cross Hands","Cross Hands - Post Office Bus Stop",256171,212750,"25/05/2010","386","900014045",
"NX000405","26054","Crowden","Crowden - A628 Longdendale Coach Stop",407200,399150,"25/05/2010","386","900026054",
"NX000406","43025","Crowlas","Crowlas (Cornwall) - Coach Stop",151617,33185,"25/05/2010","386","900043025",
"NX000407","67169","Cumbernauld","Cumbernauld - Town Centre Coach Stop",275810,674454,"25/05/2010","386","900067169","G288"
"NX000409","66107","Dalkeith","Dalkeith - High Street Coach Stop",333130,667295,"25/05/2010","386","900066107",
"NX000410","67977","Dalmally","Dalmally - Glen Orchy Hotel Coach Stop",216355,727262,"25/05/2010","386","900067977","G290"
"NX000411","68471","Dalton-in-Furness","Dalton-in-Furness - Tudor Square Coach Stop",323216,474143,"25/05/2010","386","900068471",
"NX000412","90278","Dalwhinnie","Dalwhinnie - Road End Lay-by Coach Stop",263965,782913,"25/05/2010","386","900090278","G291"
"NX000413","70142","Darlington","Darlington - Feethams opp Town Hall Coach Stop",428991,514382,"25/05/2010","386","900070142","G63"
"NX000415","73061","Darwen","Darwen Bus Stn",369292,422202,"25/05/2010","386","900073061","G292"
"NX000416","39043","Daventry","Daventry Bus Stn",457402,262414,"25/05/2010","386","900039043",
"NX000417","44385","Dawlish","Dawlish Coach Stop",296331,76588,"25/05/2010","386","900044385","G293"
"NX000419","58126","Deal","Deal - South Street Bus Stn",637773,152505,"25/05/2010","386","900058126","G294"
"NX000420","27044","DERBY","Derby Bus Stn",435588,336170,"25/05/2010","386","900027044","G64"
"NX000422","37244","Dereham","Dereham - Market Place Coach Stop",598876,313412,"25/05/2010","386","900037244",
"NX000426","46145","Devizes","Devizes: Market Place Coach Stop",400380,161669,"25/05/2010","386","900046145",
"NX000427","22222","Dewsbury","Dewsbury Bus Stn",424433,421543,"25/05/2010","386","900022222","G295"
"NX000429","85144","DISS","Diss Bus Stn",611561,279625,"25/05/2010","386","900085144","G296"
"NX000431","68381","Distington","Distington (Cumbria) - Coach Stop",300673,523572,"25/05/2010","386","900068381",
"NX000432","43237","Dobwalls","Dobwalls (Cornwall) - Coach Stop",221425,65005,"25/05/2010","386","900043237",
"NX000433","81012","Doncaster","Doncaster - Frenchgate Interchange",457185,403417,"25/05/2010","386","900081012","G65"
"NX000436","45395","Dorchester","Dorchester - South Rail Stn Coach Stop",369201,90041,"25/05/2010","386","900045395","G9"
"NX000437","93087","Dornie","Dornie (Highland) - Bridge Coach Stop",188257,826079,"25/05/2010","386","900093087",
"NX000439","58136","DOVER","Dover - Pencester Rd Bus Station",632026,141747,"25/05/2010","386","900058136","G66"
"NX000440","58146","Dover","Dover - Eastern Docks Coach Stop",632800,141600,"25/05/2010","386","900058146",
"NX000444","75032","Driffield","Driffield - East Yorkshire Bus Garage",502297,457503,"25/05/2010","386","900075032","G298"
"NX000447","91053","Droitwich","Droitwich Spa - Raven Bus Stop",389910,263190,"25/05/2010","386","900091053","G299"
"NX000449","64068","Droxford","Droxford (Hants) - Park Lane Coach Stop",460642,118276,"25/05/2010","386","900064068",
"NX000453","19023","Dudley","Dudley Bus Stn",394697,290364,"25/05/2010","386","900019023",
"NX000454","67178","Dumbarton","Dumbarton - Barloan Toll Coach Stop",240585,676200,"25/05/2010","386","900067178","G301"
"NX000455","67407","Dumfries","Dumfries - Whitesands Coach Stop",296956,576066,"25/05/2010","386","900067407","G302"
"NX000456","90387","Dunblane","Dunblane - Police Station Coach Stop",278275,700995,"25/05/2010","386","900090387","G303"
"NX000457","34123","Dunchurch","Dunchurch (Warks) - The Square Coach Stop",448518,271205,"25/05/2010","386","900034123",
"NX000459","90097","Dundee","Dundee - Seagate Bus Stn",340591,730559,"25/05/2010","386","900090097","G67"
"NX000460","90437","Dunfermline","Dunfermline Bus Stn",309060,687580,"25/05/2010","386","900090437","G322"
"NX000466","70022","Durham","Durham Bus Stn",426972,542569,"25/05/2010","386","900070022","G68"
"NX000470","52035","Duxford","Duxford - Imperial War Museum Coach Stop",546387,246452,"25/05/2010","386","900052035",
"NX000472","74022","Easingwold","Easingwold - Long Street Coach Stop",452656,469740,"25/05/2010","386","900074022",
"NX000474","59506","East Grinstead","East Grinstead - War Memorial Coach Stop",539517,137967,"25/05/2010","386","900059506","G304"
"NX000475","27114","Derby","East Midlands Airport Coach Stop",445273,325634,"25/05/2010","386","900027114",
"NX000476","37354","East Runton","East Runton - Post Office Coach Stop",619964,342625,"25/05/2010","386","900037354",
"NX000477","43265","East Taphouse","East Taphouse (Cornwall) - Bus Stop",218363,63632,"25/05/2010","386","900043265",
"NX000478","59116","EASTBOURNE","Eastbourne - Rail Stn Coach Stop",561009,99135,"25/05/2010","386","900059116","G69"
"NX000480","78131","Eastham","Eastham - New Chester Rd Coach Stop",335844,380124,"25/05/2010","386","900078131",
"NX000481","38304","Eaton","Eaton (Norwich) - Newmarket Road Coach Stop",621915,307224,"25/05/2010","386","900038304",
"NX000482","15445","Ebbw Vale","Ebbw Vale - Inner By-pass Coach Stop",316830,209707,"25/05/2010","386","900015445",
"NX000483","66228","Edgerston","Edgerston (Scottish Borders) - Church Coach Stop",368470,611630,"25/05/2010","386","900066228",
"NX000484","66157","Edinburgh","Edinburgh - St Andrew Square Bus Stn",325705,674233,"25/05/2010","386","900066157","G70"
"NX000488","78141","Ellesmere Port","Ellesmere Port - Bus Stn",339996,375886,"25/05/2010","386","900078141","G307"
