"NaPTAN","Name","Easting","Northing","Date of Issue","Issue Version","Group ID"
"9300EAS","Easdale Island Ferry Landing",173952,717178,"25/05/2010","386",
"9300EDY","Eday Orkney Ferry Terminal",357354,1030102,"25/05/2010","386",
"9300EGI","Egilsay Orkney Ferry Terminal",346183,1030272,"25/05/2010","386",
"9300EIB","East India Pier",538716,180582,"25/05/2010","386",
"9300EMB","Embankment Pier",530518,180393,"25/05/2010","386",
"9300ERI","Eriskay South Uist Ferry Terminal",78427,810289,"25/05/2010","386",
"9300EXM","Exmouth Ferry Landing",299380,80613,"25/05/2010","386",
"9300FAG","Fort Augustus Ferry Landing",237937,809254,"25/05/2010","386",
"9300FAI","Fairlie Ferry Terminal",219694,654358,"25/05/2010","386",
"9300FAL","Falmouth Prince of Wales Pier Ferry Landing",180800,33000,"25/05/2010","386",
"9300FCQ","Fowey Custom House Quay Ferry Landing",212690,52280,"25/05/2010","386",
"9300FEL","Fell Foot Country Park Ferry Landing",338101,487224,"25/05/2010","386",
"9300FEO","Feolin Jura Ferry Terminal",144040,669100,"25/05/2010","386",
"9300FES","Festival Pier",530743,180349,"25/05/2010","386",
"9300FET","Folkestone Eurotunnel Terminal",618440,137662,"25/05/2010","386",
"9300FIB","Fishnish Ferry Terminal",165685,742360,"25/05/2010","386",
"9300FIE","Fair Isle Shetland Ferry Terminal",422524,1072506,"25/05/2010","386",
"9300FIO","Fionnphort Mull Ferry Terminal",129977,723382,"25/05/2010","386",
"9300FIS","Fishguard Ferry Terminal",194613,238234,"25/05/2010","386",
"9300FLE","Fleetwood for Knott End Ferry Landing",334050,448415,"25/05/2010","386",
"9300FLH","Flotta Orkney Ferry Terminal",334975,995063,"25/05/2010","386",
"9300FLU","Flushing Falmouth Ferry Landing",180798,33735,"25/05/2010","386",
"9300FOA","Foula Shetland Ferry Terminal",397421,1138791,"25/05/2010","386",
"9300FOY","Fowey Ferry Landing",212415,51460,"25/05/2010","386",
"9300FSB","Fishbourne IOW Ferry Terminal",455623,92836,"25/05/2010","386",
"9300FTQ","Fowey Town Quay Ferry Landing",212615,51677,"25/05/2010","386",
"9300FWD","Fleetwood for Ireland Ferry Terminal",334134,448221,"25/05/2010","386",
"9300FWL","Fort William Ferry Landing",209978,773820,"25/05/2010","386",
"9300FXF","Felixstowe for Bawdsey Ferry Landing",632920,237755,"25/05/2010","386",
"9300FXT","Felixstowe for Harwich Ferry Landing",628315,232010,"25/05/2010","386",
"9300GAE","Graemsay Orkney Ferry Terminal",327148,1005573,"25/05/2010","386",
"9300GAL","Eigg Ferry Terminal",148467,783805,"25/05/2010","386",
"9300GCH","Greenock Custom House Quay Ferry Terminal",228333,676259,"25/05/2010","386",
"9300GIL","Gills Bay Ferry Terminal",332663,972952,"25/05/2010","386",
"9300GLE","Glenelg Isle of Skye Ferry Terminal",179450,821302,"25/05/2010","386",
"9300GLP","Greenland Pier",536694,179174,"25/05/2010","386",
"9300GLR","Glenridding Ullswater Ferry Landing",339034,516920,"25/05/2010","386",
"9300GLW","Glasgow Central Station Bridge Ferry Landing",258724,664856,"25/05/2010","386",
"9300GNQ","Glasgow Science Centre North Quay",256471,665202,"25/05/2010","386",
"9300GNW","Greenwich Pier",538299,178013,"25/05/2010","386",
"9300GOS","Gosport Ferry Terminal",462310,99834,"25/05/2010","386",
"9300GRE","Greenway House Ferry Landing",286950,54805,"25/05/2010","386",
"9300GUR","Gourock Ferry Terminal",224394,677764,"25/05/2010","386",
"9300GUT","Gutcher Shetland Ferry Terminal",454937,1199271,"25/05/2010","386",
"9300GVH","Greenock - Victoria Harbour",228573,675813,"25/05/2010","386",
"9300GVN","Girvan Harbour Ferry Terminal",218266,598149,"25/05/2010","386",
"9300GVS","Gravesend Pier",564673,174511,"25/05/2010","386",
"9300HAM","Hamble-le-Rice Ferry Landing",448470,106505,"25/05/2010","386",
"9300HAN","Handa Island Ferry Landing",214790,947602,"25/05/2010","386",
"9300HCP","Hampton Court Pier",515447,168514,"25/05/2010","386",
"9300HEL","Helensburgh Ferry Terminal",229470,682140,"25/05/2010","386",
"9300HEP","Helford Passage Ferry Landing",176350,26880,"25/05/2010","386",
"9300HIE","Hayling Island Ferry Landing",468810,100020,"25/05/2010","386",
"9300HIG","High Brandelhow Ferry Landing",325217,519777,"25/05/2010","386",
"9300HIW","Eastney Ferry Landing",468452,100103,"25/05/2010","386",
"9300HLF","Helford Village Ferry Landing",175920,26387,"25/05/2010","386",
"9300HLI","Holy Island Arran Ferry Landing",205128,630974,"25/05/2010","386",
"9300HLY","Holyhead Ferry Terminal",224935,382397,"25/05/2010","386",
"9300HMP","Hampton Ferry Landing",514016,169435,"25/05/2010","386",
"9300HOO","Kingswear Hoodown Ferry Terminal",288175,52205,"25/05/2010","386",
"9300HOW","Howtown Ullswater Ferry Landing",344314,519917,"25/05/2010","386",
"9300HTN","Houton Orkney Ferry Terminal",331920,1003927,"25/05/2010","386",
"9300HTW","Harwich International Ferry Terminal",623715,232705,"25/05/2010","386",
"9300HUL","Hull Ferry Terminal",513940,428870,"25/05/2010","386",
"9300HUN","Dunoon Hunters Quay Ferry Terminal",218540,679110,"25/05/2010","386",
"9300HVN","Shell Bay Ferry Terminal",403628,86703,"25/05/2010","386",
"9300HWH","Harwich Harbour Ferry Landing",625915,232860,"25/05/2010","386",
"9300HYM","Heysham Ferry Terminal",340340,460133,"25/05/2010","386",
"9300HYT","Hythe (Hants) Ferry Terminal",442366,108084,"25/05/2010","386",
"9300ILF","Ilfracombe Ferry Landing",252620,147850,"25/05/2010","386",
"9300ILN","Inverness Loch Ness Ferry Landing",259807,837914,"25/05/2010","386",
"9300INC","Inchcolm Island Ferry Landing",318990,682729,"25/05/2010","386",
"9300INV","Invergordon Port Ferry Terminal",270805,868285,"25/05/2010","386",
"9300INW","Instow Ferry Landing",247155,130250,"25/05/2010","386",
"9300IOA","Iona Ferry Terminal",128598,723985,"25/05/2010","386",
"9300ITC","West Itchenor Ferry Landing",479955,101460,"25/05/2010","386",
"9300IVE","Inverie Ferry Landing",176638,799973,"25/05/2010","386",
"9300IVY","Inveraray Ferry Terminal",209794,708577,"25/05/2010","386",
"9300JOG","John O’ Groats Ferry Terminal",337982,973417,"25/05/2010","386",
"9300KBR","Kingsbridge Ferry Landing",273595,43875,"25/05/2010","386",
"9300KEN","Kennacraig Ferry Terminal",181805,662540,"25/05/2010","386",
"9300KER","Kerrera Ferry Landing",182958,728641,"25/05/2010","386",
"9300KES","Keswick Ferry Landing",326370,522684,"25/05/2010","386",
"9300KEW","Kew Pier",519080,177815,"25/05/2010","386",
"9300KGH","Philleigh King Harry Ferry Landing",184305,39573,"25/05/2010","386",
"9300KGL","Kings Lynn Ferry Landing",561509,320187,"25/05/2010","386",
"9300KGN","Kilcreggan Ferry Terminal",224145,680450,"25/05/2010","386",
"9300KGT","Kingston Turks Pier",517751,169507,"25/05/2010","386",
"9300KIN","Kingswear Dartmouth Lower Ferry Terminal",288156,51038,"25/05/2010","386",
"9300KLB","Kilchoan Ferry Terminal",149402,762695,"25/05/2010","386",
"9300KLH","Rum Ferry Terminal",140680,799170,"25/05/2010","386",
"9300KNO","Knott End-On-Sea Ferry Landing",334635,448497,"25/05/2010","386",
"9300KOL","Kyle of Lochalsh Ferry Terminal",176274,827109,"25/05/2010","386",
"9300KRS","Kinross Ferry Landing",312751,701730,"25/05/2010","386",
"9300KUT","Kingston Town End Pier",517754,168680,"25/05/2010","386",
"9300KWH","Kirkwall Orkney Hatston Ferry Terminal",344136,1012938,"25/05/2010","386",
"9300KWL","Kirkwall Orkney Ferry Terminal",344903,1011435,"25/05/2010","386",
"9300KYL","Kylerhea Isle of Skye Ferry Terminal",178915,821183,"25/05/2010","386",
"9300LAG","Laga Ferry Landing",163255,760872,"25/05/2010","386",
"9300LAK","Lakeside Windermere Ferry Landing",337898,487344,"25/05/2010","386",
"9300LAM","Lamlash Arran Ferry Landing",202938,631217,"25/05/2010","386",
"9300LAX","Laxo Shetland Ferry Terminal",445887,1163412,"25/05/2010","386",
"9300LBR","London Bridge City Pier",533028,180414,"25/05/2010","386",
