"Primary ID","Alternate ID","Date of Last Change","Date of Issue","Issue Version"
"E0035683","N0078559","04/06/2009","25/05/2010","386"
"E0035688","N0078560","04/06/2009","25/05/2010","386"
"E0035694","N0078561","04/06/2009","25/05/2010","386"
"E0053976","N0078562","04/06/2009","25/05/2010","386"
"N0078554","N0078563","04/06/2009","25/05/2010","386"
"N0061393","N0078564","04/06/2009","25/05/2010","386"
"E0053979","N0078565","04/06/2009","25/05/2010","386"
"E0035720","N0078566","04/06/2009","25/05/2010","386"
"N0061472","N0078567","04/06/2009","25/05/2010","386"
"E0053983","N0078568","04/06/2009","25/05/2010","386"
"N0061473","N0078569","04/06/2009","25/05/2010","386"
"E0053985","N0078570","04/06/2009","25/05/2010","386"
"E0053986","N0078571","04/06/2009","25/05/2010","386"
"N0061412","N0078572","04/06/2009","25/05/2010","386"
"E0035755","N0078573","04/06/2009","25/05/2010","386"
"E0035765","N0078574","04/06/2009","25/05/2010","386"
"E0053990","N0078575","04/06/2009","25/05/2010","386"
"E0035769","N0078576","04/06/2009","25/05/2010","386"
"E0053991","N0078577","04/06/2009","25/05/2010","386"
"E0053992","N0078578","04/06/2009","25/05/2010","386"
"N0075383","N0078579","04/06/2009","25/05/2010","386"
"E0035777","N0078580","04/06/2009","25/05/2010","386"
"N0061469","N0078581","04/06/2009","25/05/2010","386"
"N0061497","N0078582","04/06/2009","25/05/2010","386"
"E0035806","N0078583","04/06/2009","25/05/2010","386"
"E0035782","N0078584","04/06/2009","25/05/2010","386"
"E0035768","N0078585","01/07/2009","25/05/2010","386"
"E0053975","N0078586","04/06/2009","25/05/2010","386"
"E0053994","N0078587","04/06/2009","25/05/2010","386"
"N0061412","N0078592","08/06/2009","25/05/2010","386"
"E0035722","N0078682","09/02/2010","25/05/2010","386"
"E0035721","N0078683","09/02/2010","25/05/2010","386"
"N0075375","N0078685","19/02/2010","25/05/2010","386"
"E0035738","N0078686","19/02/2010","25/05/2010","386"
"E0035751","N0078687","19/02/2010","25/05/2010","386"
"E0035793","N0078688","19/02/2010","25/05/2010","386"
"E0035784","N0078689","19/02/2010","25/05/2010","386"
"E0035815","N0071090","19/09/2002","25/05/2010","386"
"E0054008","N0071092","19/09/2002","25/05/2010","386"
"E0036133","E0036132","19/09/2002","25/05/2010","386"
"E0035997","E0036192","19/09/2002","25/05/2010","386"
"E0054033","N0071117","19/09/2002","25/05/2010","386"
"E0035927","N0071118","19/09/2002","25/05/2010","386"
"E0054089","N0071119","19/09/2002","25/05/2010","386"
"E0035975","N0071121","19/09/2002","25/05/2010","386"
"E0035984","N0071123","19/09/2002","25/05/2010","386"
"E0035987","N0071124","19/09/2002","25/05/2010","386"
"E0054043","N0071125","19/09/2002","25/05/2010","386"
"E0036246","N0071126","19/09/2002","25/05/2010","386"
"E0036024","N0071127","19/09/2002","25/05/2010","386"
"E0036043","N0071128","19/09/2002","25/05/2010","386"
"E0036011","N0071131","19/09/2002","25/05/2010","386"
"E0054100","N0071132","19/09/2002","25/05/2010","386"
"E0054048","N0071134","19/09/2002","25/05/2010","386"
"E0054072","N0071135","19/09/2002","25/05/2010","386"
"E0054071","N0071136","19/09/2002","25/05/2010","386"
"E0036083","N0071137","19/09/2002","25/05/2010","386"
"E0054054","N0071138","19/09/2002","25/05/2010","386"
"E0036088","N0071139","19/09/2002","25/05/2010","386"
"E0036107","N0071143","19/09/2002","25/05/2010","386"
"E0036022","N0071147","19/09/2002","25/05/2010","386"
"E0036157","N0071148","19/09/2002","25/05/2010","386"
"N0071149","N0071150","19/09/2002","25/05/2010","386"
"E0054883","N0071151","19/09/2002","25/05/2010","386"
"E0035910","N0071155","19/09/2002","25/05/2010","386"
"E0036019","N0071156","19/09/2002","25/05/2010","386"
"E0054030","N0071159","19/09/2002","25/05/2010","386"
"E0036186","N0071160","19/09/2002","25/05/2010","386"
"E0036072","N0071161","19/09/2002","25/05/2010","386"
"E0036068","N0071162","19/09/2002","25/05/2010","386"
"E0036219","N0071163","19/09/2002","25/05/2010","386"
"E0036064","N0071164","19/09/2002","25/05/2010","386"
"E0036047","N0071167","19/09/2002","25/05/2010","386"
"E0036060","N0071168","19/09/2002","25/05/2010","386"
"E0036335","E0054141","19/09/2002","25/05/2010","386"
"E0054107","N0071172","19/09/2002","25/05/2010","386"
"E0054139","N0071173","19/09/2002","25/05/2010","386"
"E0036379","N0071174","19/09/2002","25/05/2010","386"
"E0054114","N0071175","19/09/2002","25/05/2010","386"
"E0036308","N0071176","19/09/2002","25/05/2010","386"
"E0036423","N0071177","19/09/2002","25/05/2010","386"
"E0036516","N0078505","10/02/2009","25/05/2010","386"
"N0071187","N0071188","19/09/2002","25/05/2010","386"
"E0054160","N0071189","19/09/2002","25/05/2010","386"
"E0054181","N0071190","19/09/2002","25/05/2010","386"
"E0054187","N0071196","19/09/2002","25/05/2010","386"
"E0054198","N0071197","19/09/2002","25/05/2010","386"
"E0054200","N0071198","19/09/2002","25/05/2010","386"
"E0036753","N0071199","19/09/2002","25/05/2010","386"
"E0054222","N0071200","19/09/2002","25/05/2010","386"
"E0054221","N0071201","19/09/2002","25/05/2010","386"
"E0036719","N0071202","19/09/2002","25/05/2010","386"
"E0054196","N0071203","19/09/2002","25/05/2010","386"
"E0054220","N0071204","19/09/2002","25/05/2010","386"
"E0054237","E0037364","19/09/2002","25/05/2010","386"
"E0054227","N0071208","04/02/2009","25/05/2010","386"
"E0054228","N0071209","19/09/2002","25/05/2010","386"
"E0054229","N0071210","19/09/2002","25/05/2010","386"
"E0054232","N0071211","19/09/2002","25/05/2010","386"
"E0054241","N0071212","19/09/2002","25/05/2010","386"
"E0054236","N0071213","19/09/2002","25/05/2010","386"
"E0037322","N0071214","19/09/2002","25/05/2010","386"
"E0054249","N0071215","19/09/2002","25/05/2010","386"
"E0037306","N0071216","19/09/2002","25/05/2010","386"
"E0037295","N0071217","19/09/2002","25/05/2010","386"
"E0037396","N0071218","19/09/2002","25/05/2010","386"
"E0054239","N0071219","19/09/2002","25/05/2010","386"
"E0054233","N0071220","19/09/2002","25/05/2010","386"
"E0054234","N0071221","19/09/2002","25/05/2010","386"
"E0054244","N0071222","19/09/2002","25/05/2010","386"
"E0054969","E0037705","05/12/2005","25/05/2010","386"
"E0054959","E0054275","19/09/2002","25/05/2010","386"
"E0054262","N0071251","19/09/2002","25/05/2010","386"
"E0054266","N0071252","19/09/2002","25/05/2010","386"
"N0071253","N0071254","19/09/2002","25/05/2010","386"
"E0054969","N0071255","05/12/2005","25/05/2010","386"
"E0037740","N0071257","19/09/2002","25/05/2010","386"
"E0038666","E0038671","19/09/2002","25/05/2010","386"
"E0054324","N0071265","19/09/2002","25/05/2010","386"
"E0054326","N0071266","19/09/2002","25/05/2010","386"
"E0054333","N0071267","19/09/2002","25/05/2010","386"
"N0071268","N0071269","19/09/2002","25/05/2010","386"
"E0038739","N0071270","19/09/2002","25/05/2010","386"
"E0038676","N0071271","19/09/2002","25/05/2010","386"
"E0038648","N0071272","19/09/2002","25/05/2010","386"
"E0054353","N0071273","19/09/2002","25/05/2010","386"
"E0054363","N0071274","19/09/2002","25/05/2010","386"
"N0072110","E0039164","21/02/2003","25/05/2010","386"
"E0039258","E0039266","04/09/2002","25/05/2010","386"
"N0070298","N0070299","06/12/2005","25/05/2010","386"
"N0070296","N0070300","04/09/2002","25/05/2010","386"
"N0070314","N0070313","09/09/2002","25/05/2010","386"
"E0054379","N0071294","19/09/2002","25/05/2010","386"
"E0054383","N0071296","19/09/2002","25/05/2010","386"
"E0054400","N0071297","19/09/2002","25/05/2010","386"
"E0054376","N0071298","19/09/2002","25/05/2010","386"
"E0054409","N0071303","19/09/2002","25/05/2010","386"
"E0054428","N0071304","19/09/2002","25/05/2010","386"
"E0039638","N0071305","19/09/2002","25/05/2010","386"
"E0039633","N0071306","19/09/2002","25/05/2010","386"
"E0039726","N0071307","19/09/2002","25/05/2010","386"
"E0039730","N0071308","19/09/2002","25/05/2010","386"
"E0039754","N0071310","19/09/2002","25/05/2010","386"
"E0055085","N0071345","19/09/2002","25/05/2010","386"
"E0055082","N0071346","19/09/2002","25/05/2010","386"
"E0054472","N0071347","19/09/2002","25/05/2010","386"
"E0054474","N0071348","19/09/2002","25/05/2010","386"
"E0054478","N0071349","19/09/2002","25/05/2010","386"
"N0071350","N0071351","19/09/2002","25/05/2010","386"
"E0040201","N0071352","19/09/2002","25/05/2010","386"
"E0040296","N0071353","19/09/2002","25/05/2010","386"
"E0040220","N0071354","19/09/2002","25/05/2010","386"
"E0055092","N0071355","19/09/2002","25/05/2010","386"
