"Group ID","Name","Easting","Northing","Date of Last Change","Date of Issue","Issue Version"
"G227","Barrow in Furness",319760,469500,"02/06/2006 16:42:36","25/05/2010","386"
"G228","Basildon",570420,188400,"05/02/2007 08:41:53","25/05/2010","386"
"G229","Battle",574980,115720,"02/06/2006 16:42:36","25/05/2010","386"
"G23","Penge",535090,170600,"14/08/2003 16:42:00","25/05/2010","386"
"G230","Beccles",642280,290430,"23/02/2007 07:52:35","25/05/2010","386"
"G231","Bedworth",435940,286950,"02/06/2006 16:42:36","25/05/2010","386"
"G232","Belper",434650,347520,"05/02/2007 08:41:53","25/05/2010","386"
"G234","Beverley",503495,439650,"05/02/2007 08:41:53","25/05/2010","386"
"G235","Bicester",458540,222340,"05/02/2007 08:41:53","25/05/2010","386"
"G236","Billericay",567545,194900,"05/02/2007 08:41:53","25/05/2010","386"
"G237","Billingham",446340,523840,"23/02/2007 07:52:35","25/05/2010","386"
"G238","Bingham",470440,339832,"05/02/2007 08:41:53","25/05/2010","386"
"G239","Bingley",410720,439160,"05/02/2007 08:41:53","25/05/2010","386"
"G24","Pontefract",446050,422290,"05/02/2007 08:41:53","25/05/2010","386"
"G240","Birchington",630080,169250,"21/05/2007 14:54:52","25/05/2010","386"
"G241","Bishops Stortford",548930,221020,"02/06/2006 16:42:36","25/05/2010","386"
"G242","Blantyre",268960,657600,"05/02/2007 08:41:53","25/05/2010","386"
"G243","Bloxwich",399470,302235,"05/02/2007 08:41:53","25/05/2010","386"
"G244","Boston",532430,344070,"23/02/2007 07:52:35","25/05/2010","386"
"G245","Bracknell",486940,168990,"05/02/2007 08:41:53","25/05/2010","386"
"G246","Braintree",575920,222850,"05/02/2007 08:41:53","25/05/2010","386"
"G247","Brandon",578380,286880,"02/06/2006 16:42:36","25/05/2010","386"
"G248","Branksome",405650,91940,"23/02/2007 07:52:35","25/05/2010","386"
"G249","Brentwood",559330,193320,"23/02/2007 07:52:35","25/05/2010","386"
"G25","Portsmouth",464200,100200,"14/08/2003 16:42:00","25/05/2010","386"
"G250","Bridge of Allan",278880,697620,"05/02/2007 08:41:53","25/05/2010","386"
"G251","Bridge of Orchy",229900,739620,"05/02/2007 08:41:53","25/05/2010","386"
"G252","Bridgend",290570,180035,"02/06/2006 16:42:36","25/05/2010","386"
"G253","Bridgwater",330490,137000,"05/02/2007 08:41:53","25/05/2010","386"
"G254","Brierfield",384660,436300,"05/02/2007 08:41:53","25/05/2010","386"
"G255","Brigg",500270,407090,"05/02/2007 08:41:53","25/05/2010","386"
"G256","Brighouse",414660,422810,"05/02/2007 08:41:53","25/05/2010","386"
"G257","Briton Ferry",274300,194560,"05/02/2007 08:41:53","25/05/2010","386"
"G258","Broadstairs",639270,167900,"05/02/2007 08:41:53","25/05/2010","386"
