"Exchange Point ID","Tiploc Code","CRS Code","Station Name","Easting","Northing","Date of Issue","Issue Version","NaPTAN","Group ID"
"R0000398","BURNLYB","BUB","Burnley Barracks Rail Station",383100,432800,"25/05/2010","386","9100BURNLYB",
"R0000399","BURNLYC","BNC","Burnley Central Rail Station",383960,433050,"25/05/2010","386","9100BURNLYC","G51"
"R0000400","BURNMR","BYM","Burnley Manchester Road Rail Station",383700,432100,"25/05/2010","386","9100BURNMR","G51"
"R0000401","BRSDE","BUI","Burnside (Strathclyde) Rail Station",262000,660400,"25/05/2010","386","9100BRSDE",
"R0000403","BISLND","BTS","Burntisland Rail Station",323300,685600,"25/05/2010","386","9100BISLND",
"R0000404","BRSCGHB","BCB","Burscough Bridge Rail Station",344400,412400,"25/05/2010","386","9100BRSCGHB",
"R0000405","BRSCGHJ","BCJ","Burscough Junction Rail Station",344500,411600,"25/05/2010","386","9100BRSCGHJ",
"R0000406","BURSLDN","BUO","Bursledon Rail Station",448967,109663,"25/05/2010","386","9100BURSLDN",
"R0000407","BRTJYC","BUJ","Burton Joyce Rail Station",464500,343400,"25/05/2010","386","9100BRTJYC",
"R0000408","BURTNOT","BUT","Burton-on-Trent Rail Station",424200,323200,"25/05/2010","386","9100BURTNOT","G52"
"R0000409","BSTEDMS","BSE","Bury St Edmunds Rail Station",585300,265200,"25/05/2010","386","9100BSTEDMS","G262"
"R0000410","BUSBY","BUS","Busby Rail Station",258220,656430,"25/05/2010","386","9100BUSBY",
"R0000411","BHILLPK","BHK","Bush Hill Park Rail Station",533700,195400,"25/05/2010","386","9100BHILLPK",
"R0000412","BUSHEY","BSH","Bushey Rail Station",511858,195322,"25/05/2010","386","9100BUSHEY",
"R0000413","BTLRSLA","BUL","Butlers Lane Rail Station",411070,299420,"25/05/2010","386","9100BTLRSLA",
"R0000414","PENYCHN","BPC","Penychain Rail Station",242800,336500,"25/05/2010","386","9100PENYCHN",
"R0000415","BXTD","BXD","Buxted Rail Station",549688,123341,"25/05/2010","386","9100BXTD",
"R0000416","BUXTON","BUX","Buxton Rail Station",405910,373750,"25/05/2010","386","9100BUXTON","G264"
"R0000417","BYFLANH","BFN","Byfleet & New Haw Rail Station",505854,162285,"25/05/2010","386","9100BYFLANH",
"R0000418","BYNEA","BYE","Bynea Rail Station",254960,199115,"25/05/2010","386","9100BYNEA",
"R0000419","CADOXTN","CAD","Cadoxton Rail Station",313240,168880,"25/05/2010","386","9100CADOXTN",
"R0000421","CAERGWL","CGW","Caergwrle Rail Station",330950,357240,"25/05/2010","386","9100CAERGWL",
"R0000422","CRPHLY","CPH","Caerphilly Rail Station",315650,186560,"25/05/2010","386","9100CRPHLY",
"R0000423","CARSWS","CWS","Caersws Rail Station",302890,291880,"25/05/2010","386","9100CARSWS","G265"
"R0000424","CDCOT","CDT","Caldicot Rail Station",347400,187600,"25/05/2010","386","9100CDCOT",
"R0000425","CLDNNRB","CIR","Caledonian Rd & Barnsbury Rail Station",530800,184400,"25/05/2010","386","9100CLDNNRB",
"R0000426","CALSTCK","CSK","Calstock Rail Station",243450,68750,"25/05/2010","386","9100CALSTCK",
"R0000427","DURSLEY","CDU","Cam & Dursley Rail Station",375290,202160,"25/05/2010","386","9100DURSLEY",
"R0000428","CMBLEY","CAM","Camberley Rail Station",487573,160441,"25/05/2010","386","9100CMBLEY",
"R0000429","CBORNE","CBN","Camborne Rail Station",164830,39696,"25/05/2010","386","9100CBORNE","G266"
"R0000430","CAMBDGE","CBG","Cambridge Rail Station",546200,257300,"25/05/2010","386","9100CAMBDGE",
"R0000431","CAMHTH","CBH","Cambridge Heath (London) Rail Station",534850,183240,"25/05/2010","386","9100CAMHTH",
"R0000432","CMBSLNG","CBL","Cambuslang Rail Station",263950,660620,"25/05/2010","386","9100CMBSLNG",
"R0000433","CMDNRD","CMD","Camden Road Rail Station",529175,184185,"25/05/2010","386","9100CMDNRD",
"R0000434","CAMELON","CMO","Camelon Rail Station",286760,680730,"25/05/2010","386","9100CAMELON","G267"
"R0000435","CANLEY","CNL","Canley Rail Station",430880,278010,"25/05/2010","386","9100CANLEY",
"R0000438","CNCK","CAO","Cannock Rail Station",398600,309830,"25/05/2010","386","9100CNCK","G268"
"R0000439","CNNB","CNN","Canonbury Rail Station",532380,185040,"25/05/2010","386","9100CNNB",
"R0000440","CNTBE","CBE","Canterbury East Rail Station",614645,157285,"25/05/2010","386","9100CNTBE","G5"
"R0000441","CNTBW","CBW","Canterbury West Rail Station",614552,158395,"25/05/2010","386","9100CNTBW","G5"
"R0000442","CNTLEY","CNY","Cantley Rail Station",638140,303680,"25/05/2010","386","9100CNTLEY",
"R0000443","CPNHRST","CPU","Capenhurst Rail Station",337240,374100,"25/05/2010","386","9100CPNHRST",
"R0000444","CARBISB","CBB","Carbis Bay Rail Station",152880,38760,"25/05/2010","386","9100CARBISB","G269"
"R0000445","CDND","CDD","Cardenden Rail Station",321700,695000,"25/05/2010","386","9100CDND",
"R0000446","CARDFBR","CDB","Cardiff Bay Rail Station",319074,174883,"25/05/2010","386","9100CARDFBR",
"R0000447","CRDFCEN","CDF","Cardiff Central Rail Station",318194,175889,"25/05/2010","386","9100CRDFCEN","G54"
"R0000449","CARDFQS","CDQ","Cardiff Queen Street Rail Station",318838,176539,"25/05/2010","386","9100CARDFQS",
"R0000450","CDNL","CDO","Cardonald Rail Station",253570,664630,"25/05/2010","386","9100CDNL",
"R0000451","CDRS","CDR","Cardross Rail Station",234480,677330,"25/05/2010","386","9100CDRS",
"R0000452","CARFIN","CRF","Carfin Rail Station",277490,658850,"25/05/2010","386","9100CARFIN",
"R0000453","CARK","CAK","Cark Rail Station",336600,476190,"25/05/2010","386","9100CARK",
"R0000454","CARLILE","CAR","Carlisle Rail Station",340200,555500,"25/05/2010","386","9100CARLILE","G55"
"R0000455","CRTN","CTO","Carlton Rail Station",461940,341240,"25/05/2010","386","9100CRTN",
"R0000456","CRLK","CLU","Carluke Rail Station",283990,650200,"25/05/2010","386","9100CRLK",
"R0000457","CMTHN","CMN","Carmarthen Rail Station",241280,219710,"25/05/2010","386","9100CMTHN","G270"
"R0000458","CARMYLE","CML","Carmyle Rail Station",264930,662230,"25/05/2010","386","9100CARMYLE",
"R0000459","CRNF","CNF","Carnforth Rail Station",349700,470700,"25/05/2010","386","9100CRNF","G271"
"R0000460","CNST","CAN","Carnoustie Rail Station",356600,734500,"25/05/2010","386","9100CNST",
