"NaPTAN","Name","Easting","Northing","Date of Issue","Issue Version","Group ID"
"9300FIE","Fair Isle Shetland Ferry Terminal",422524,1072506,"22/01/2013","1058",
"9300FIO","Fionnphort Mull Ferry Terminal",129977,723382,"22/01/2013","1058",
"9300FIS","Fishguard Ferry Terminal",194613,238234,"22/01/2013","1058",
"9300FLE","Fleetwood for Knott End Ferry Landing",334050,448415,"22/01/2013","1058",
"9300FLH","Flotta Orkney Ferry Terminal",334975,995063,"22/01/2013","1058",
"9300FLU","Flushing Falmouth Ferry Landing",180798,33735,"22/01/2013","1058",
"9300FOA","Foula Shetland Ferry Terminal",397421,1138791,"22/01/2013","1058",
"9300FOY","Fowey Ferry Landing",212415,51460,"22/01/2013","1058",
"9300FSB","Fishbourne IOW Ferry Terminal",455623,92836,"22/01/2013","1058",
"9300FTQ","Fowey Town Quay Ferry Landing",212615,51677,"22/01/2013","1058",
"9300FWL","Fort William Ferry Landing",209978,773820,"22/01/2013","1058",
"9300FXF","Felixstowe for Bawdsey Ferry Landing",632920,237755,"22/01/2013","1058",
"9300FXT","Felixstowe for Harwich Ferry Landing",628282,232020,"22/01/2013","1058",
"9300GAE","Graemsay Orkney Ferry Terminal",327148,1005573,"22/01/2013","1058",
"9300GAL","Eigg Ferry Terminal",148467,783805,"22/01/2013","1058",
"9300GCH","Greenock Custom House Quay Ferry Terminal",228333,676259,"22/01/2013","1058",
"9300GIL","Gills Bay Ferry Terminal",332663,972952,"22/01/2013","1058",
"9300GLC","Gairloch Ferry Landing",180596,874973,"22/01/2013","1058",
"9300GLE","Glenelg Isle of Skye Ferry Terminal",179450,821302,"22/01/2013","1058",
"9300GLP","Greenland Pier",536662,179139,"22/01/2013","1058",
"9300GLR","Glenridding Ullswater Ferry Landing",339034,516920,"22/01/2013","1058",
"9300GLW","Glasgow Central Station Bridge Ferry Landing",258724,664856,"22/01/2013","1058",
"9300GNQ","Glasgow Science Centre North Quay",256471,665202,"22/01/2013","1058",
"9300GNW","Greenwich Pier",538299,177952,"22/01/2013","1058",
"9300GOS","Gosport Ferry Terminal",462263,99845,"22/01/2013","1058",
"9300GOV","Govan Ferry Landing",255533,665859,"22/01/2013","1058",
