"Exchange Point ID","National Express ID","Name","Long Name","Easting","Northing","Date of Issue","Issue Version","CoachClusterCode","Group ID"
"NX000296","66248","Carter Bar","Carter Bar: Summit Coach Stop",369773,606820,"22/01/2013","1058","900066248",
"NX000300","67504","Castle Douglas","Castle Douglas: Carlingwark Street Coach Stop",276125,561817,"22/01/2013","1058","900067504",
"NX000307","69142","Catcleugh","Catcleugh (Northumberland): Coach Stop",374856,603337,"22/01/2013","1058","900069142",
"NX000308","74012","Catterick","Catterick Coach Stop",424073,498032,"22/01/2013","1058","900074012",
"NX000311","75122","Cayton Bay","Cayton Bay: Haven Holiday Park Coach Stop",506596,484227,"22/01/2013","1058","900075122",
"NX000313","43586","Chacewater","Chacewater (Cornwall): Coach Stop",175121,44436,"22/01/2013","1058","900043586",
"NX000314","21461","Chadderton","Chadderton (Manchester): Broadway Bus Stop",390363,405376,"22/01/2013","1058","900021461",
"NX000317","31424","Chapel St Leonards","Chapel St Leonards: Bus Station",556068,372266,"22/01/2013","1058","900031424",
"NX000320","17023","Charlton Kings","Charlton Kings: Bradley Rd Coach Stop",396412,219910,"22/01/2013","1058","900017023",
"NX000326","54014","Chelmsford","Chelmsford Bus Station",570455,207042,"22/01/2013","1058","900054014","G56"
"NX000327","17043","Cheltenham Spa","Cheltenham Spa: Royal Well Bus Station",394725,222352,"22/01/2013","1058","900017043","G57"
"NX000328","15345","Chepstow","Chepstow Bus Station",353193,193759,"22/01/2013","1058","900015345","G263"
"NX000332","11081","CHESTER","Chester: Bus Exchange",340357,366480,"22/01/2013","1058","900011081","G58"
"NX000333","11082","Chester","Chester Zoo Bus Terminal",340701,370295,"22/01/2013","1058","900011082",
"NX000334","70012","Chester-le-Street","Chester-le-Street: South Burns Coach Stop",427363,551637,"22/01/2013","1058","900070012","G146"
"NX000335","28034","Chesterfield","Chesterfield Bus Station",438206,370980,"22/01/2013","1058","900028034","G59"
"NX000336","63456","Chichester","Chichester Bus Station",485992,104316,"22/01/2013","1058","900063456","G60"
"NX000338","46115","Chippenham","Chippenham: Bath Rd o/s Car Park Coach Stop",391901,173368,"22/01/2013","1058","900046115","G147"
"NX000340","12031","Chirk","Chirk: Hand Hotel Coach Stop",329079,337712,"22/01/2013","1058","900012031","G272"
"NX000343","65056","Christchurch","Christchurch Coach Stop",415470,93257,"22/01/2013","1058","900065056","G274"
"NX000344","17353","Cirencester","Cirencester: London Rd Coach Stop",402805,202000,"22/01/2013","1058","900017353",
"NX000347","67778","Clachan (N Kintyre)","Clachan (N Kintyre): Village Coach Stop",176503,656095,"22/01/2013","1058","900067778",
"NX000348","53764","Clacton-on-Sea","Clacton-on-Sea: Rail Station Coach Stop",617608,215266,"22/01/2013","1058","900053764","G275"
