"Group ID","Name","Easting","Northing","Date of Last Change","Date of Issue","Issue Version"
"G396","Matlock Bath",429412,358338,"09/02/2007 07:22:56","22/01/2013","1058"
"G397","Matlock",429600,360200,"09/02/2007 07:22:56","22/01/2013","1058"
"G398","Melksham",390277,164203,"09/02/2007 07:22:56","22/01/2013","1058"
"G399","Merthyr Tydfil",304950,206200,"10/01/2011 13:41:11","22/01/2013","1058"
"G4","Bradford",416500,433000,"23/02/2007 07:52:35","22/01/2013","1058"
"G40","Barnsley",434734,406487,"24/03/2009 09:25:58","22/01/2013","1058"
"G400","Milford Haven",190067,205923,"09/02/2007 07:22:56","22/01/2013","1058"
"G401","Mirfield",420346,419761,"09/02/2007 07:22:56","22/01/2013","1058"
"G402","Montrose",371200,758000,"13/02/2007 16:58:06","22/01/2013","1058"
"G403","Morecambe",343167,464173,"09/02/2007 07:22:56","22/01/2013","1058"
"G404","Moreton-in-Marsh",420626,232425,"09/02/2007 07:22:56","22/01/2013","1058"
"G405","Morpeth",420089,585716,"09/02/2007 07:22:56","22/01/2013","1058"
"G406","Motherwell ",275054,657175,"09/02/2007 07:22:56","22/01/2013","1058"
"G407","Nantwich",365434,352194,"09/02/2007 07:22:56","22/01/2013","1058"
"G408","Neath",275100,197500,"09/02/2007 07:22:56","22/01/2013","1058"
"G409","Nelson",386030,437660,"23/02/2007 07:52:35","22/01/2013","1058"
"G41","Basingstoke",463800,152500,"05/02/2007 08:41:53","22/01/2013","1058"
"G410","New Milton",424234,95184,"09/02/2007 07:22:56","22/01/2013","1058"
"G411","Newbury",447205,166730,"23/02/2007 07:52:35","22/01/2013","1058"
"G412","Newhaven",544756,101512,"23/02/2007 07:52:35","22/01/2013","1058"
"G414","Newton Abbot",286752,71200,"09/02/2007 07:22:56","22/01/2013","1058"
"G415","Newtonmore",271367,798617,"09/02/2007 07:22:56","22/01/2013","1058"
"G416","Newtown (Powys)",310849,291438,"09/02/2007 07:22:56","22/01/2013","1058"
"G417","Nuneaton",436533,292000,"09/02/2007 07:22:56","22/01/2013","1058"
"G418","Oban",185795,729888,"09/02/2007 07:22:56","22/01/2013","1058"
"G419","Oldham",392822,405083,"23/02/2007 07:52:35","22/01/2013","1058"
"G42","Bath Spa",375300,164400,"15/08/2003 13:20:00","22/01/2013","1058"
"G420","Ormskirk",341700,408400,"09/02/2007 07:22:56","22/01/2013","1058"
"G421","Oulton Broad",652105,292726,"09/02/2007 07:22:56","22/01/2013","1058"
"G422","Paisley",248304,664230,"09/02/2007 07:22:56","22/01/2013","1058"
"G423","Penkridge",392168,314089,"09/02/2007 07:22:56","22/01/2013","1058"
