POIReference,POILongName,POIEasting,POINorthing
"""PI00221""","""North Middlesex Hospital, Edmonton, London""",533602,192386
"""PI00222""","""North Tyneside General Hospital, North Shields""",434256,570374
"""PI00223""","""Northampton General Hospital""",476488,260416
"""PI00224""","""Northern General Hospital""",436257,390448
"""PI00225""","""Northwick Park Hospital, Harrow, North London""",516346,187580
"""PI00226""","""Queen's Medical Centre, Nottingham""",454780,338825
"""PI00227""","""Peterborough City Hospital (Edith Cavell Campus)""",516668,299849
"""PI00228""","""Pilgrim Hospital, Boston, Lincolnshire""",533793,345611
"""PI00229""","""Pinderfields General Hospital, Wakefield""",433955,421890
"""PI00230""","""Pontefract General Infirmary""",445795,421770
"""PI00231""","""Poole Hospital""",401990,91370
"""PI00232""","""Princess Alexandra Hospital, Harlow""",543962,210090
"""PI00233""","""Princess Royal Hospital, Haywards Heath""",534070,123045
"""PI00234""","""Princess Royal University Hospital, Orpington, Kent""",543383,164995
"""PI00235""","""Queen Alexandra Hospital, Portsmouth""",465470,105970
"""PI00236""","""Queen Elizabeth Hospital, Edgbaston, Birmingham""",404029,283542
"""PI00237""","""Queen Elizabeth Hospital, Woolwich, London""",542548,177516
"""PI00238""","""Queen Elizabeth II Hospital, Welwyn Garden City""",525095,210967
"""PI00239""","""Queen Elizabeth The Queen Mother Hospital, Margate""",635895,169585
"""PI00240""","""Queen Mary's Hospital, Sidcup""",546334,170986
"""PI00241""","""Queen's Hospital, Romford""",551183,187829
"""PI00242""","""Queen's Hospital, Burton Upon Trent""",423162,324625
"""PI00243""","""Rochdale Infirmary""",389624,414092
"""PI00244""","""Rotherham District Hospital""",443795,391046
"""PI00245""","""Royal Albert Edward Infirmary, Wigan""",358447,407030
"""PI00246""","""Royal Berkshire Hospital, Reading""",472565,172820
"""PI00247""","""Royal Blackburn Hospital, Blackburn""",369213,426768
"""PI00248""","""Royal Bolton Hospital, Bolton""",371562,406385
"""PI00249""","""Royal Bournemouth General Hospital""",412739,94135
"""PI00250""","""Royal Cornwall Hospital, Treliske, Truro""",179640,45257
"""PI00251""","""Royal Derby Hospital, Derby""",432732,334990
"""PI00252""","""Royal Devon and Exeter Hospital, Wonford, Exeter""",293711,91836
"""PI00253""","""Royal Free Hospital, Hampstead, London""",527282,185491
"""PI00254""","""Royal Hampshire County Hospital, Winchester""",446875,129360
"""PI00255""","""Royal Lancaster Infirmary, Lancaster""",347754,460997
"""PI00256""","""Royal Oldham Hospital, Oldham""",392000,406258
"""PI00257""","""Royal Preston Hospital, Preston""",353495,433014
"""PI00258""","""Royal Shrewsbury Hospital, Shrewsbury""",346564,312626
"""PI00259""","""Royal Surrey County Hospital, Guildford""",497304,150015
"""PI00260""","""Royal Sussex County Hospital, Brighton""",532655,103880
"""PI00261""","""Royal United Hospital, Bath""",372916,165930
"""PI00262""","""Royal Victoria Infirmary, Newcastle""",424540,565080
"""PI00263""","""Russells Hall Hospital, Dudley, West Midlands""",392120,289316
